uniq_n.txt
6J0O_w_pocket_n2_pos  0.9957918  0.0348
6J0O_w_pocket_n12_neg  0.981615  -0.1176
6J0O_w_pocket_n1_neg  0.8170936  0.0477
6E3T_w_pocket_n36_neg  0.9962948  -0.1366
6E3T_w_pocket_n1_neg  0.9938292  0.2295
6E3T_w_pocket_n14_neg  0.9935476  0.0371
6GG8_w_pocket_n2_neg  0.9798369  0.3384
6GG8_w_pocket_n15_neg  0.09524749  -0.0677
6GG8_w_pocket_n1_pos  0.0026510037  0.3921
6E3S_w_pocket_n2_neg  0.999936  0.1054
6E3S_w_pocket_n1_pos  0.9993401  0.258
6E3S_w_pocket_n31_neg  0.9979436  -0.358
6NQ0_w_pocket_n44_neg  0.9919769  -0.276
6NQ0_w_pocket_n29_neg  0.98397106  -0.1099
6NQ0_w_pocket_n11_neg  0.9814305  -0.0171
6GEV_w_pocket_n2_neg  0.99705446  0.28
6GEV_w_pocket_n5_neg  0.9916694  0.0905
6GEV_w_pocket_n4_neg  0.24978563  0.0966
6IEZ_w_pocket_n8_pos  0.99838674  -0.002
6IEZ_w_pocket_n7_neg  0.3748734  0.0
6IEZ_w_pocket_n6_neg  0.010146054  0.0084
5OVE_w_pocket_n1_neg  0.9828692  0.2036
5OVE_w_pocket_n2_neg  0.9509575  0.1445
5OVE_w_pocket_n9_pos  0.93493617  0.0323
6J81_w_pocket_n1_pos  0.9939949  0.108
6J81_w_pocket_n8_neg  0.77964735  -0.0534
6J81_w_pocket_n6_neg  0.0011003552  0.0132
6GGG_w_pocket_n2_neg  0.8354659  0.0256
6GGG_w_pocket_n4_neg  0.59673274  0.0151
6GGG_w_pocket_n15_neg  0.1368506  -0.0455
6I2A_w_pocket_n17_pos  0.9998704  -0.0318
6I2A_w_pocket_n4_neg  0.9993674  0.0639
6I2A_w_pocket_n24_neg  0.9992894  -0.3728
